Year,Country Name,"Current account balance, US Dollar","Current account balance, Percent of GDP","Revenue, General government, Domestic currency","Revenue, General government, Percent of GDP","Expenditure, General government, Domestic currency","Net lending (+) / net borrowing (-), General government, Domestic currency","Net lending (+) / net borrowing (-), General government, Percent of GDP","Primary net lending (+) / net borrowing (-), General government, Domestic currency","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Gross debt, General government, Domestic currency","Gross debt, General government, Percent of GDP","Expenditure, General government, Percent of GDP","Population, Number",Unemployment rate,"Gross domestic product (GDP), Current prices, Domestic currency","Gross domestic product (GDP), Current prices, US Dollar","Gross domestic product (GDP), Current prices, Per capita, US Dollar","Gross domestic product (GDP), Current prices, Per capita, Domestic currency","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, Number","Gross domestic product (GDP), Deflator, Index","Gross domestic product (GDP), Current prices, Fiscal year, Domestic currency","Gross domestic product (GDP), Constant prices, Domestic currency","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency","Gross national savings, Percent of GDP","All items, Consumer price index (CPI), Period average","All items, Consumer price index (CPI), End-of-period (EoP)","All items, Consumer price index (CPI), Percent change, end-of-period (EoP)","All items, Consumer price index (CPI), Percent change, period average","Domestic currency per international dollar in PPP terms, Domestic currency","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP","Gross capital formation, Percent of GDP","Imports of goods, Volume, Percent change","Imports of goods and services, Volume, Percent change","Exports of goods, Volume, Percent change","Exports of goods and services, Volume, Percent change"
2020,"armenia, republic of",-0.505,-3.998,1560.655,25.246,1894.647,-333.993,-5.403,-169.382,-2.74,4164.251,67.362,30.648,2.962,18.2,6181.903,12.642,4268.681,2087422.793,1286944.451,15057.258,162.2,6181.903,3811.286,-7.105,15.666,217.999,224.046,3.7,1.199,141.941,43.553,14706.317,0.031,19.664,-17.31,-31.495,-19.822,-34.694
2021,"armenia, republic of",-0.483,-3.48,1683.831,24.083,2004.301,-320.47,-4.584,-139.633,-1.997,4429.6,63.354,28.667,2.962,15.5,6991.778,13.879,4685.183,2360253.114,1360828.766,15921.705,173.442,6991.778,4031.183,5.77,19.484,233.707,241.297,7.7,7.206,148.241,47.165,15921.705,0.03,22.964,-0.451,2.813,-3.21,5.422
2022,"armenia, republic of",0.065,0.331,2063.127,24.268,2242.59,-179.464,-2.111,18.849,0.222,4186.665,49.246,26.379,2.93,13.5,8501.449,19.514,6660.868,2901914.732,1548968.56,18122.942,187.345,8501.449,4537.858,12.569,22.71,253.953,261.325,8.3,8.663,149.468,56.878,19414.998,0.033,22.379,42.348,50.085,66.64,92.264
2023,"armenia, republic of",-0.556,-2.31,2359.405,24.959,2551.037,-191.632,-2.027,61.78,0.654,4794.946,50.723,26.986,2.964,12.6,9453.175,24.086,8125.625,3189115.107,1658204.316,19401.001,192.323,9453.175,4915.249,8.316,18.985,258.928,259.757,-0.6,1.959,148.11,63.826,21532.119,0.035,21.295,53.993,48.043,51.649,41.876
2024,"armenia, republic of",-1.065,-4.217,2556.428,25.159,3039.326,-482.898,-4.753,-171.898,-1.692,5326.785,52.424,29.912,2.964,13.0,10160.899,25.251,8517.994,3427598.114,1758215.067,20571.128,194.948,10160.899,5212.118,6.04,15.855,259.427,262.25,0.96,0.193,146.628,69.297,23376.226,0.036,20.073,27.836,24.607,35.317,20.057
2015,australia,-57.022,-4.619,565.239,34.461,610.924,-45.685,-2.785,-30.66,-1.869,618.521,37.709,37.246,23.985,6.058,1640.23,1234.457,51468.795,68386.852,83979.12,57077.236,81.433,1640.23,2014.204,2.353,21.654,107.65,108.3,1.69,1.485,1.453,1128.917,47068.446,1.004,25.883,2.773,2.062,5.527,6.189
2016,australia,-41.505,-3.284,591.845,34.84,632.995,-41.15,-2.422,-25.828,-1.52,689.483,40.588,37.263,24.385,5.717,1698.731,1263.667,51821.355,69662.766,84846.814,57666.973,82.104,1698.731,2068.995,2.72,20.872,109.025,109.8,1.385,1.277,1.451,1170.645,48006.646,1.0,24.675,0.302,0.238,7.269,6.818
2017,australia,-35.476,-2.566,631.484,35.02,662.429,-30.945,-1.716,-15.275,-0.847,742.011,41.149,36.736,24.759,5.608,1803.229,1382.668,55845.011,72831.2,85585.381,58168.947,85.098,1803.229,2119.01,2.417,21.977,111.2,112.1,2.095,1.995,1.478,1220.416,49291.76,0.987,24.277,7.83,7.75,2.051,3.372
2018,australia,-31.736,-2.236,674.643,35.562,698.488,-23.845,-1.257,-7.818,-0.412,791.0,41.696,36.819,25.146,5.283,1897.077,1419.28,56441.271,75442.076,86650.834,58893.093,87.064,1897.077,2178.934,2.828,21.908,113.35,114.0,1.695,1.933,1.47,1290.175,51307.076,0.981,24.172,4.262,4.634,4.62,5.135
2019,australia,4.828,0.348,687.822,34.459,775.734,-87.913,-4.404,-71.499,-3.582,931.337,46.659,38.864,25.52,5.175,1996.036,1388.092,54391.307,78213.142,86938.845,59088.842,89.963,1996.036,2218.72,1.826,23.061,115.125,116.1,1.842,1.566,1.459,1367.848,53598.066,0.981,22.55,-1.242,-1.045,1.723,3.098
