Year,Country Name,"Current account balance, US Dollar","Current account balance, Percent of GDP","Revenue, General government, Domestic currency","Revenue, General government, Percent of GDP","Expenditure, General government, Domestic currency","Net lending (+) / net borrowing (-), General government, Domestic currency","Net lending (+) / net borrowing (-), General government, Percent of GDP","Primary net lending (+) / net borrowing (-), General government, Domestic currency","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Gross debt, General government, Domestic currency","Gross debt, General government, Percent of GDP","Expenditure, General government, Percent of GDP","Population, Number",Unemployment rate,"Gross domestic product (GDP), Current prices, Domestic currency","Gross domestic product (GDP), Current prices, US Dollar","Gross domestic product (GDP), Current prices, Per capita, US Dollar","Gross domestic product (GDP), Current prices, Per capita, Domestic currency","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, Number","Gross domestic product (GDP), Deflator, Index","Gross domestic product (GDP), Current prices, Fiscal year, Domestic currency","Gross domestic product (GDP), Constant prices, Domestic currency","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency","Gross national savings, Percent of GDP","All items, Consumer price index (CPI), Period average","All items, Consumer price index (CPI), End-of-period (EoP)","All items, Consumer price index (CPI), Percent change, end-of-period (EoP)","All items, Consumer price index (CPI), Percent change, period average","Domestic currency per international dollar in PPP terms, Domestic currency","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP","Gross capital formation, Percent of GDP","Imports of goods, Volume, Percent change","Imports of goods and services, Volume, Percent change","Exports of goods, Volume, Percent change","Exports of goods and services, Volume, Percent change"
2020,"kazakhstan, republic of",-10.96,-6.406,12369.991,17.509,17341.504,-4971.513,-7.037,-5426.244,-7.681,18621.06,26.357,24.546,18.756,4.925,70649.03,171.082,9121.636,3766810.188,765486.054,33315.196,492.081,70649.03,14357.2,-2.6,22.401,457.28,472.711,7.5,6.799,124.875,565.757,30164.604,0.407,28.807,-23.853,-27.345,-8.65,-9.623
2021,"kazakhstan, republic of",-2.673,-1.356,14358.747,17.104,18527.826,-4169.08,-4.966,-3660.999,-4.361,21072.227,25.1,22.07,19.001,4.9,83951.59,197.112,10373.791,4418275.219,786585.455,34233.476,561.703,83951.59,14945.9,4.1,25.178,493.871,512.419,8.4,8.002,129.063,650.47,34233.476,0.418,26.533,-8.592,-10.732,-1.293,-3.763
2022,"kazakhstan, republic of",7.054,3.128,22644.736,21.823,22535.387,109.349,0.105,850.472,0.82,24409.858,23.524,21.718,19.635,4.875,103765.52,225.529,11486.06,5284726.755,786300.655,34221.081,672.1,103765.52,15439.0,3.299,28.125,567.732,616.44,20.3,14.956,144.152,719.835,36660.837,0.418,24.997,14.484,13.972,1.613,1.877
2023,"kazakhstan, republic of",-8.726,-3.313,26121.883,21.667,27940.288,-1818.405,-1.508,-668.893,-0.555,27450.183,22.769,23.175,19.861,4.775,120561.1,263.372,13260.898,6070308.81,817006.969,35557.47,742.994,120561.1,16226.4,5.1,26.245,650.38,676.851,9.8,14.558,153.822,783.772,39463.307,0.425,29.558,23.365,24.767,12.783,16.425
2024,"kazakhstan, republic of",-4.492,-1.535,26194.775,19.767,29286.627,-3091.852,-2.333,-1776.941,-1.341,32800.974,24.752,22.1,20.079,4.775,132520.208,292.553,14569.9,6599857.161,836421.904,36402.439,789.058,132520.208,16794.728,3.502,26.988,706.567,730.999,8.0,8.639,159.547,830.605,41366.311,0.427,28.514,-1.606,0.089,2.826,3.632
2015,kyrgyz republic,-1.059,-15.852,153.112,35.567,163.946,-10.835,-2.517,-7.307,-1.697,288.804,67.087,38.084,5.895,7.554,430.489,6.678,1132.843,73025.424,26769.248,5754.503,272.796,430.489,157.806,3.876,18.433,146.358,149.244,3.352,6.503,15.474,27.821,4719.358,0.025,34.285,-17.085,-14.544,-15.247,-6.98
2016,kyrgyz republic,-0.792,-11.625,157.822,33.133,185.403,-27.581,-5.79,-23.281,-4.888,281.382,59.073,38.923,6.019,7.211,476.331,6.813,1131.841,79131.619,27352.634,5879.912,289.302,476.331,164.649,4.336,19.985,146.927,148.494,-0.503,0.389,16.255,29.303,4868.029,0.025,31.61,3.558,4.338,-3.554,-1.722
2017,kyrgyz republic,-0.477,-6.197,176.581,33.287,196.383,-19.802,-3.733,-15.192,-2.864,311.846,58.786,37.02,6.14,6.891,530.476,7.703,1254.51,86393.929,28085.872,6037.534,307.606,530.476,172.453,4.74,24.551,151.593,153.922,3.656,3.175,16.98,31.242,5088.044,0.025,30.749,6.97,0.792,5.947,1.281
2018,kyrgyz republic,-0.997,-12.054,184.877,32.47,188.237,-3.36,-0.59,2.466,0.433,312.126,54.818,33.06,6.257,6.922,569.386,8.271,1321.954,91003.703,28516.236,6130.048,319.129,569.386,178.418,3.459,15.742,153.931,154.671,0.486,1.543,18.493,30.789,4921.011,0.023,27.795,12.139,8.206,1.661,-1.096
2019,kyrgyz republic,-1.073,-11.452,201.217,30.766,201.701,-0.484,-0.074,4.975,0.761,319.475,48.848,30.84,6.389,6.922,654.015,9.372,1466.956,102369.323,29211.636,6279.536,350.44,654.015,186.627,4.601,13.567,155.68,159.398,3.056,1.136,18.71,34.956,5471.463,0.025,25.019,-3.261,-0.884,7.397,15.188
2020,kyrgyz republic,0.374,4.516,185.582,29.011,205.17,-19.589,-3.062,-13.606,-2.127,407.117,63.643,32.073,6.517,8.656,639.689,8.283,1270.961,98158.306,26590.042,5715.98,369.154,639.689,173.285,-7.149,21.942,165.523,174.894,9.722,6.323,18.364,34.834,5345.188,0.025,17.426,-20.668,-22.504,-10.079,-24.707
2021,kyrgyz republic,-0.739,-7.984,245.585,31.37,251.123,-5.538,-0.707,0.216,0.028,439.972,56.201,32.078,6.654,9.014,782.854,9.256,1390.9,117643.731,27474.496,5906.108,428.192,782.854,182.828,5.507,15.387,185.235,194.475,11.195,11.908,19.919,39.302,5906.108,0.025,23.371,23.831,17.241,15.472,11.852
2022,kyrgyz republic,-5.144,-41.922,354.46,34.726,357.459,-2.998,-0.294,7.506,0.735,477.937,46.822,35.019,6.795,9.014,1020.745,12.269,1805.648,150222.277,29319.472,6302.717,512.364,1020.745,199.223,8.968,-20.351,211.001,223.002,14.669,13.91,22.248,45.88,6752.063,0.027,21.571,52.183,52.558,-24.639,0.699
2023,kyrgyz republic,-6.738,-48.151,459.904,37.424,437.946,21.957,1.787,36.028,2.932,549.521,44.717,35.637,6.931,9.014,1228.899,13.993,2018.911,177300.456,30510.765,6558.806,581.108,1228.899,211.475,6.15,-26.765,233.782,239.225,7.275,10.797,24.357,50.454,7279.263,0.027,21.387,34.496,44.711,54.936,57.896
2024,kyrgyz republic,-3.419,-21.676,497.794,35.82,490.862,6.931,0.499,24.093,1.734,580.892,41.8,35.321,7.077,9.014,1389.7,15.774,2228.777,196355.944,31818.221,6839.866,617.118,1389.7,225.192,6.486,-0.274,245.697,251.264,5.032,5.097,25.263,55.01,7772.556,0.028,21.402,0.413,1.58,77.175,51.351
2015,"korea, republic of",105.119,6.829,335911.0,19.297,327262.0,8649.0,0.497,3155.927,0.181,676200.0,38.845,18.8,51.015,3.592,1740776.0,1539.212,30171.791,34122862.07,36071565.46,44989.702,94.598,1740776.0,1840189.0,2.92,35.914,94.861,95.07,1.132,0.706,861.187,2021.368,39623.062,1.797,29.312,0.477,1.942,-0.602,-0.004
2016,"korea, republic of",97.924,6.202,367888.0,20.07,339236.0,28652.0,1.563,23651.328,1.29,717500.0,39.143,18.507,51.218,3.675,1833026.5,1578.816,30825.524,35788854.51,37068187.01,46232.723,96.549,1833026.5,1898551.1,3.172,36.375,95.783,96.342,1.338,0.972,870.675,2105.293,41104.719,1.798,29.982,3.954,5.428,1.875,2.451
2017,"korea, republic of",75.231,4.399,400659.0,20.714,360492.0,40167.0,2.077,33843.183,1.75,735200.0,38.01,18.637,51.362,3.683,1934233.9,1710.197,33296.984,37658916.16,38233234.74,47685.811,98.498,1934233.9,1963732.0,3.433,36.525,97.645,97.698,1.407,1.944,872.625,2216.57,43155.911,1.792,31.965,7.493,7.922,4.206,2.491
2018,"korea, republic of",77.467,4.246,435558.0,21.702,386907.0,48651.0,2.424,40776.266,2.032,759700.0,37.853,19.278,51.585,3.833,2006974.6,1824.251,35363.952,38906122.78,39276923.95,48987.536,99.056,2006974.6,2026102.4,3.176,35.465,99.086,98.988,1.32,1.476,854.871,2347.692,45511.086,1.784,31.249,1.859,1.637,2.819,3.797
2019,"korea, republic of",59.676,3.408,441148.0,21.619,433993.0,7155.0,0.351,-2769.734,-0.136,810700.0,39.729,21.268,51.765,3.783,2040594.3,1751.046,33826.944,39420483.28,40046159.15,49946.953,98.438,2040594.3,2072982.3,2.314,34.356,99.466,99.719,0.738,0.383,847.548,2407.645,46511.218,1.727,31.196,-2.657,-2.019,-1.494,-0.167
2020,"korea, republic of",75.902,4.351,443694.0,21.555,487032.0,-43338.0,-2.105,-52647.734,-2.558,945100.0,45.913,23.66,51.836,3.942,2058466.6,1744.456,33653.204,39710955.88,39710955.88,49528.876,100.0,2058466.6,2058466.6,-0.7,35.88,100.0,100.33,0.613,0.537,829.359,2481.996,47881.492,1.784,31.525,0.243,-3.26,0.074,-1.664
2021,"korea, republic of",85.228,4.388,534999.0,24.078,535413.0,-414.0,-0.019,-8863.543,-0.399,1066200.0,47.986,24.097,51.77,3.675,2221913.0,1942.314,37518.466,42919312.07,41596331.39,51880.381,103.181,2221913.0,2153422.9,4.613,36.716,102.498,104.04,3.698,2.498,827.274,2685.823,51880.381,1.728,32.493,12.524,10.187,10.852,10.791
2022,"korea, republic of",25.829,1.435,585325.0,25.188,619990.0,-34665.0,-1.492,-40183.946,-1.729,1157200.0,49.798,26.68,51.673,2.883,2323781.5,1799.363,34822.405,44971278.67,42811088.03,53395.468,105.046,2323781.5,2212158.9,2.728,34.424,107.715,109.26,5.017,5.09,786.18,2955.787,57202.241,1.716,33.325,4.719,4.153,3.936,3.916
2023,"korea, republic of",35.488,1.93,539887.0,22.484,556007.0,-16120.0,-0.671,-17877.945,-0.745,1236571.364,51.498,23.155,51.713,2.7,2401189.4,1839.058,35563.079,46433378.85,43378628.39,54103.324,107.042,2401189.4,2243220.4,1.404,34.187,111.59,112.73,3.176,3.597,773.292,3105.151,60046.345,1.685,32.257,-0.253,3.521,2.863,3.606
2024,"korea, republic of",72.009,3.851,560079.369,22.115,573408.0,-13328.631,-0.526,-15665.263,-0.619,1339092.348,52.876,22.642,51.753,2.9,2532535.833,1869.916,36131.846,48935457.45,44422553.95,55405.344,110.159,2532535.833,2298981.465,2.486,34.862,114.402,115.097,2.1,2.52,777.241,3258.366,62960.47,1.675,31.011,3.319,4.586,6.608,6.815
2015,"kosovo, republic of",-0.552,-8.763,1.457,25.669,1.577,-0.12,-2.116,-0.105,-1.851,0.762,13.424,27.785,1.772,32.9,5.674,6.296,3554.1,3202.973,3227.947,10503.363,99.226,5.674,5.719,5.916,21.67,99.761,98.724,-0.181,-0.528,0.339,16.732,9444.731,0.015,30.433,-4.804,-2.94,-2.909,1.833
2016,"kosovo, republic of",-0.533,-7.974,1.616,26.772,1.719,-0.103,-1.709,-0.09,-1.495,0.874,14.472,28.481,1.784,27.525,6.037,6.681,3745.863,3385.027,3385.027,11014.48,100.0,6.037,6.037,5.572,25.548,100.0,100.0,1.292,0.24,0.339,17.789,9974.216,0.015,33.522,9.622,7.591,-4.522,10.492
2017,"kosovo, republic of",-0.394,-5.484,1.7,26.748,1.791,-0.091,-1.426,-0.077,-1.205,1.041,16.379,28.174,1.799,30.475,6.357,7.178,3991.249,3534.322,3518.815,11449.812,100.441,6.357,6.329,4.825,29.21,101.495,100.486,0.486,1.495,0.34,18.691,10392.703,0.015,34.694,5.671,5.458,21.181,20.012
2018,"kosovo, republic of",-0.601,-7.626,1.775,26.601,1.966,-0.191,-2.861,-0.176,-2.641,1.143,17.137,29.463,1.796,29.5,6.672,7.882,4389.631,3715.335,3644.419,11858.514,101.946,6.672,6.544,3.406,28.668,102.609,103.413,2.913,1.098,0.337,19.771,11010.244,0.015,36.295,7.013,10.897,-1.857,9.09
2019,"kosovo, republic of",-0.448,-5.673,1.905,26.995,2.111,-0.207,-2.927,-0.188,-2.662,1.247,17.669,29.922,1.782,25.65,7.056,7.9,4432.996,3959.453,3846.818,12517.096,102.928,7.056,6.855,4.757,28.886,105.336,104.702,1.247,2.658,0.335,21.053,11813.549,0.015,34.558,4.522,4.503,4.038,7.515
2020,"kosovo, republic of",-0.539,-6.973,1.736,25.641,2.265,-0.529,-7.811,-0.507,-7.487,1.523,22.487,33.453,1.798,25.95,6.772,7.728,4297.829,3765.791,3608.823,11742.688,104.35,6.772,6.489,-5.341,26.432,105.544,104.761,0.056,0.197,0.335,20.194,11229.946,0.015,33.406,-3.664,-5.992,21.669,-29.149
2021,"kosovo, republic of",-0.822,-8.731,2.212,27.792,2.311,-0.099,-1.244,-0.072,-0.91,1.717,21.581,29.035,1.774,20.75,7.958,9.418,5309.124,4485.851,4051.106,13181.825,110.732,7.958,7.187,10.746,27.22,109.077,111.735,6.657,3.348,0.34,23.385,13181.825,0.015,35.95,28.883,31.427,51.611,76.657
2022,"kosovo, republic of",-0.967,-10.31,2.499,28.093,2.565,-0.066,-0.74,-0.034,-0.384,1.787,20.087,28.833,1.762,12.575,8.896,9.375,5320.704,5048.695,4253.183,13839.36,118.704,8.896,7.494,4.278,24.922,121.713,125.258,12.102,11.584,0.341,26.123,14826.023,0.015,35.232,2.243,5.725,16.059,18.909
2023,"kosovo, republic of",-0.802,-7.677,2.86,29.624,2.882,-0.023,-0.237,0.016,0.163,1.692,17.524,29.861,1.763,10.875,9.653,10.44,5922.406,5475.696,4392.89,14293.95,124.649,9.653,7.744,3.336,26.561,127.724,128.12,2.285,4.938,0.345,27.966,15864.08,0.015,34.238,1.711,6.317,-9.29,6.293
2015,sri lanka,-1.883,-2.212,1460.892,12.63,2228.82,-767.928,-6.639,-240.701,-2.081,8829.52,76.334,19.269,20.97,4.7,11566.987,85.091,4057.742,551596.9,551596.9,13329.778,100.0,11566.987,11566.987,4.206,32.064,84.283,86.2,4.612,2.224,45.528,254.065,12115.637,0.226,34.276,17.994,17.994,4.733,4.733
2016,sri lanka,-1.744,-1.981,1693.557,13.218,2333.883,-640.326,-4.997,-29.431,-0.23,9609.765,75.0,18.215,21.203,4.4,12812.974,88.0,4150.367,604300.052,573104.796,13849.534,105.443,12812.974,12151.541,5.054,34.473,87.642,90.0,4.408,3.985,47.554,269.441,12707.666,0.23,36.453,8.274,8.274,9.116,9.116
2017,sri lanka,-2.309,-2.446,1839.562,12.786,2573.056,-733.494,-5.098,2.072,0.014,10396.317,72.26,17.884,21.444,4.2,14387.319,94.376,4401.055,670925.154,603274.249,14578.603,111.214,14387.319,12936.613,6.461,37.28,93.408,96.4,7.111,6.58,49.274,291.985,13616.185,0.236,39.727,2.594,2.594,4.461,4.461
2018,sri lanka,-2.798,-2.962,1932.459,12.588,2693.228,-760.769,-4.956,91.421,0.596,12831.905,83.585,17.543,21.67,4.4,15351.934,94.484,4360.149,708441.809,610773.281,14759.823,115.991,15351.934,13235.457,2.31,35.101,97.4,99.1,2.801,4.273,49.968,307.238,14178.023,0.233,38.057,-0.902,-0.902,5.794,5.794
2019,sri lanka,-1.844,-2.071,1898.808,11.934,3095.191,-1196.383,-7.519,-295.03,-1.854,13141.516,82.594,19.453,21.803,4.8,15910.976,89.015,4082.694,729760.859,605709.123,14637.443,120.48,15910.976,13206.276,-0.22,32.037,101.592,103.9,4.844,4.304,51.709,307.705,14112.953,0.221,34.109,-7.757,-7.757,-2.245,-2.245
2020,sri lanka,-1.186,-1.407,1373.307,8.777,3283.702,-1910.395,-12.21,-930.093,-5.945,15158.257,96.881,20.987,21.919,5.5,15646.253,84.304,3846.175,713821.479,574640.768,13886.652,124.22,15646.253,12595.551,-4.625,31.466,106.233,108.3,4.235,4.569,55.16,283.652,12940.904,0.204,32.871,-20.423,-20.423,-29.777,-29.777
2021,sri lanka,-3.285,-3.708,1463.811,8.311,3521.736,-2057.925,-11.685,-1009.542,-5.732,18082.379,102.669,19.996,22.156,5.1,17612.37,88.609,3999.337,794925.528,592413.116,14316.135,134.184,17612.37,13125.505,4.207,33.028,112.558,121.4,12.096,5.954,55.527,317.188,14316.135,0.204,36.734,-5.118,-5.118,2.287,2.287
2022,sri lanka,-0.744,-0.997,2012.589,8.364,4472.546,-2459.957,-10.223,-894.767,-3.718,27899.423,115.94,18.586,22.396,5.25,24063.763,74.586,3330.376,1074487.989,543018.331,13122.471,197.873,24063.763,12161.201,-7.347,27.638,163.45,187.6,54.53,45.214,76.432,314.837,14058.023,0.183,28.603,-22.385,-22.385,-3.033,-3.033
2015,luxembourg,2.846,4.737,22.561,41.669,21.855,0.706,1.304,0.575,1.062,11.432,21.115,40.366,0.563,6.648,54.143,60.078,106710.273,96167.851,96167.851,133292.664,100.0,54.143,54.143,2.269,23.696,99.993,99.78,0.808,0.059,0.863,62.739,111437.514,0.056,18.958,4.91,5.707,-4.203,5.139
2016,luxembourg,2.94,4.727,23.571,41.935,22.508,1.062,1.89,0.926,1.647,11.01,19.588,40.045,0.576,6.263,56.208,62.2,107948.199,97549.636,98642.312,136722.371,98.892,56.208,56.838,4.978,22.659,100.037,101.33,1.553,0.043,0.845,66.488,115391.026,0.057,17.932,-2.385,3.752,0.493,5.309
2017,luxembourg,2.924,4.451,24.806,42.644,24.011,0.795,1.367,0.666,1.145,12.676,21.791,41.277,0.591,5.843,58.169,65.689,111211.579,98479.854,97493.342,135129.851,101.012,58.169,57.586,1.317,23.341,102.149,102.92,1.569,2.112,0.848,68.57,116089.425,0.055,18.89,5.609,0.754,5.728,-0.227
2018,luxembourg,4.61,6.49,27.221,45.276,25.431,1.79,2.977,1.665,2.769,12.568,20.904,42.299,0.602,5.103,60.121,71.033,117993.371,99868.274,96823.448,134201.35,103.145,60.121,58.288,1.219,23.535,104.211,104.92,1.943,2.018,0.849,70.825,117649.071,0.054,17.045,-0.893,3.711,0.54,3.611
2019,luxembourg,6.202,8.873,28.298,45.327,26.911,1.387,2.221,1.258,2.015,13.961,22.362,43.105,0.614,5.406,62.432,69.898,113860.351,101697.524,97716.707,135439.444,104.074,62.432,59.988,2.916,27.566,105.931,106.98,1.963,1.651,0.829,75.27,122611.519,0.054,18.693,1.242,7.412,1.429,5.996
2020,luxembourg,6.329,8.595,28.094,43.54,30.3,-2.206,-3.419,-2.355,-3.65,15.876,24.604,46.959,0.626,6.362,64.524,73.64,117616.151,103056.182,94938.733,131589.055,108.55,64.524,59.442,-0.91,25.94,105.937,106.79,-0.178,0.006,0.838,76.983,122954.959,0.055,17.345,-9.678,-0.377,-10.324,0.594
2021,luxembourg,6.765,7.9,31.396,43.388,31.005,0.391,0.541,0.195,0.269,17.731,24.504,42.847,0.635,5.746,72.361,85.641,134924.978,114002.489,100362.359,139106.428,113.591,72.361,63.703,7.169,26.739,109.611,112.79,5.619,3.468,0.82,88.295,139106.428,0.057,18.84,17.502,12.373,3.777,10.278
2022,luxembourg,6.25,7.65,33.739,43.518,34.01,-0.271,-0.35,-0.493,-0.635,19.176,24.733,43.868,0.645,4.816,77.529,81.706,126597.939,120125.907,100065.851,138695.456,120.047,77.529,64.582,1.38,25.396,118.544,119.96,6.357,8.15,0.808,95.895,148583.602,0.056,17.746,-12.054,-1.906,-3.96,-0.641
2023,luxembourg,5.818,6.782,37.152,46.844,38.145,-0.993,-1.252,-1.385,-1.747,20.359,25.67,48.096,0.661,5.226,79.31,85.78,129810.315,120019.098,96661.516,133976.906,124.164,79.31,63.875,-1.095,24.732,122.017,123.85,3.243,2.929,0.807,98.258,148693.702,0.053,17.95,-1.068,-0.14,-0.478,-1.367
2024,luxembourg,6.261,6.865,39.343,47.002,40.432,-1.089,-1.301,-1.519,-1.814,22.371,26.726,48.303,0.674,5.808,83.704,91.21,135321.424,124185.868,95962.913,133008.612,129.41,83.704,64.681,1.263,23.135,125.057,126.194,1.893,2.492,0.822,101.876,151145.794,0.052,16.27,-0.836,0.055,-0.657,0.18
2015,"latvia, republic of",-0.166,-0.61,8.815,35.873,9.188,-0.374,-1.52,0.062,0.253,9.089,36.989,37.393,1.986,9.875,24.572,27.266,13728.365,12372.074,12372.074,30631.207,100.0,24.572,24.572,3.885,23.195,100.002,99.29,0.404,0.213,0.48,51.245,25801.843,0.046,23.787,1.647,1.647,2.974,2.974
2016,"latvia, republic of",0.44,1.569,9.039,35.628,9.165,-0.126,-0.497,0.183,0.719,10.224,40.298,36.125,1.969,9.642,25.371,28.076,14259.249,12885.667,12775.365,31629.69,100.863,25.371,25.154,2.369,22.734,100.101,101.38,2.105,0.099,0.479,52.957,26896.071,0.045,21.16,3.565,3.565,3.956,3.956
2017,"latvia, republic of",0.374,1.227,9.621,35.656,9.843,-0.222,-0.822,0.075,0.278,10.493,38.884,36.478,1.95,8.715,26.984,30.473,15626.275,13837.348,13326.064,32993.128,103.837,26.984,25.987,3.312,23.24,102.998,103.57,2.16,2.894,0.485,55.691,28557.902,0.045,21.996,8.546,8.546,6.352,6.352
2018,"latvia, republic of",-0.06,-0.175,10.878,37.313,11.093,-0.215,-0.739,0.06,0.207,10.784,36.99,38.052,1.934,7.415,29.154,34.445,17806.56,15071.274,13970.582,34588.849,107.879,29.154,27.024,3.991,23.031,105.628,106.21,2.549,2.554,0.49,59.505,30762.065,0.045,23.194,6.338,6.338,4.405,4.405
2019,"latvia, republic of",-0.213,-0.621,11.408,37.313,11.524,-0.116,-0.381,0.147,0.48,11.209,36.663,37.693,1.92,6.311,30.573,34.229,17828.071,15923.635,14158.137,35053.204,112.47,30.573,27.183,0.588,22.202,108.53,108.48,2.137,2.747,0.48,63.72,33187.953,0.046,22.813,2.224,2.224,1.298,1.298
2020,"latvia, republic of",1.001,2.913,11.337,37.654,12.462,-1.124,-3.735,-0.862,-2.862,12.869,42.742,41.388,1.908,8.099,30.109,34.363,18013.227,15783.329,13748.677,34039.449,114.799,30.109,26.228,-3.514,24.315,108.618,107.95,-0.489,0.081,0.47,64.108,33605.287,0.046,21.38,-1.143,-1.143,0.355,0.355
2021,"latvia, republic of",-1.553,-3.934,12.549,37.63,14.394,-1.845,-5.532,-1.588,-4.762,14.809,44.406,43.162,1.893,7.557,33.349,39.469,20847.701,17614.899,14786.218,36608.228,119.131,33.349,27.994,6.732,21.076,112.136,116.46,7.883,3.239,0.481,69.308,36608.228,0.045,25.003,15.061,15.061,9.045,9.045
2022,"latvia, republic of",-1.932,-4.775,14.294,37.238,15.718,-1.424,-3.709,-1.227,-3.197,16.039,41.782,40.948,1.876,6.851,38.386,40.454,21566.931,20464.371,15364.86,38040.849,133.189,38.386,28.821,2.955,20.262,131.473,140.57,20.702,17.245,0.502,76.443,40752.931,0.044,25.022,11.094,11.094,10.315,10.315
2023,"latvia, republic of",-1.749,-4.008,15.542,38.519,16.965,-1.423,-3.527,-1.194,-2.96,17.581,43.574,42.046,1.883,6.506,40.348,43.64,23175.505,21427.444,15262.449,37787.297,140.393,40.348,28.739,-0.283,18.983,143.382,141.77,0.854,9.058,0.511,78.97,41938.071,0.043,22.977,-2.843,-2.843,-5.939,-5.939
2024,"latvia, republic of",-1.708,-3.751,16.156,38.673,17.593,-1.438,-3.442,-1.02,-2.442,18.885,45.207,42.115,1.879,6.727,41.775,45.521,24222.809,22229.522,15471.061,38303.785,143.685,41.775,29.074,1.164,19.265,145.338,145.937,2.94,1.364,0.511,81.798,43526.926,0.042,23.016,3.0,3.0,2.6,2.6
2015,morocco,-2.165,-1.961,257.659,23.899,306.33,-48.671,-4.514,-21.381,-1.983,629.56,58.394,28.413,34.125,9.7,1078.119,110.414,3235.57,31593.231,30621.626,8431.573,103.173,1078.119,1044.963,4.345,28.032,97.7,97.9,0.617,1.559,4.009,268.907,7880.072,0.239,29.994,-4.349,-2.013,6.116,6.117
2016,morocco,-4.185,-3.75,263.989,24.125,312.422,-48.433,-4.426,-21.538,-1.968,657.472,60.084,28.551,34.487,9.4,1094.249,111.573,3235.218,31729.318,30458.115,8386.551,104.174,1094.249,1050.409,0.521,27.996,99.2,99.6,1.736,1.535,4.01,272.877,7912.473,0.233,31.747,18.326,16.406,9.518,7.524
2017,morocco,-3.75,-3.163,282.376,24.578,319.519,-37.144,-3.233,-10.066,-0.876,692.332,60.261,27.811,34.852,10.2,1148.895,118.541,3401.256,32964.966,31663.549,8718.463,104.11,1148.895,1103.538,5.058,28.293,100.0,101.2,1.606,0.806,3.937,291.814,8372.935,0.236,31.456,5.7,6.405,10.319,10.471
2018,morocco,-6.219,-4.883,289.764,24.243,330.768,-41.004,-3.431,-14.071,-1.177,722.62,60.458,27.674,35.22,9.5,1195.237,127.341,3615.592,33936.315,32293.271,8891.855,105.088,1195.237,1137.369,3.066,27.058,101.6,101.4,0.198,1.6,4.213,283.691,8054.832,0.216,31.941,5.71,5.428,3.66,2.286
2019,morocco,-4.411,-3.421,295.219,23.811,339.245,-44.026,-3.551,-17.685,-1.426,747.255,60.27,27.362,35.587,9.2,1239.836,128.92,3622.679,34839.576,32884.171,9054.558,105.946,1239.836,1170.249,2.891,27.0,101.8,102.5,1.085,0.197,4.193,295.694,8309.034,0.212,30.421,3.553,0.824,3.654,4.409
2020,morocco,-1.415,-1.166,311.147,26.998,393.516,-82.369,-7.147,-53.584,-4.649,832.602,72.245,34.145,35.952,11.9,1152.478,121.354,3375.438,32056.019,30213.785,8319.275,106.097,1152.478,1086.246,-7.178,27.454,102.5,102.2,-0.293,0.688,4.028,286.109,7958.078,0.206,28.62,-8.342,-11.81,1.659,-16.776
2021,morocco,-3.33,-2.344,322.427,25.257,398.725,-76.298,-5.977,-49.182,-3.853,885.306,69.351,31.234,36.313,12.3,1276.563,142.022,3911.053,35154.435,32352.794,8908.245,108.66,1276.563,1174.827,8.155,28.168,103.9,105.5,3.229,1.366,3.946,323.485,8908.245,0.208,30.513,13.608,12.84,12.942,7.607
2022,morocco,-4.658,-3.557,381.686,28.686,453.238,-71.552,-5.378,-43.05,-3.235,951.775,71.532,34.064,36.67,11.8,1330.558,130.952,3571.091,36284.647,32527.107,8956.241,111.552,1330.558,1192.769,1.527,26.569,110.8,114.3,8.341,6.641,3.782,351.84,9594.767,0.204,30.126,12.197,13.663,11.74,31.72
2023,morocco,-0.893,-0.618,415.049,28.363,479.497,-64.448,-4.404,-33.228,-2.271,1016.6,69.47,32.767,37.022,13.0,1463.358,144.438,3901.397,39526.714,33314.327,9173.0,118.648,1463.358,1233.363,3.403,28.043,117.6,118.2,3.412,6.137,3.883,376.907,10180.615,0.205,28.661,7.531,8.971,7.415,6.946
2024,morocco,-3.136,-1.996,447.248,28.667,513.909,-66.661,-4.273,-29.988,-1.922,1072.02,68.712,32.939,37.37,13.352,1560.169,157.087,4203.553,41749.241,33925.463,9341.275,123.062,1560.169,1267.795,2.792,25.792,119.623,120.844,2.237,1.72,3.933,396.685,10615.06,0.204,27.788,2.409,1.541,1.464,1.363
2015,"moldova, republic of",-0.463,-5.991,43.67,29.962,46.502,-2.832,-1.943,-1.733,-1.189,61.772,42.381,31.904,2.845,5.025,145.754,7.726,2715.782,51237.398,3975.292,11677.101,1288.896,145.754,11.308,-0.338,17.604,45446.03,21631.179,13.528,9.628,5.256,27.731,9748.365,0.025,23.595,-5.0,-5.0,1.0,1.0
